date,cad_2y,overnight,spread_pp,abs_spread_bp
2023-06-01,4.2,4.5,-0.2999999999999998,29.999999999999982
2023-07-01,4.63,4.75,-0.1200000000000001,12.00000000000001
2023-08-01,4.72,5.0,-0.28000000000000025,28.000000000000025
2023-09-01,4.55,5.0,-0.4500000000000002,45.000000000000014
2023-10-01,4.97,5.0,-0.03000000000000025,3.000000000000025
2023-11-01,4.53,5.0,-0.46999999999999975,46.99999999999997
2023-12-01,4.07,5.0,-0.9299999999999997,92.99999999999997
2024-01-01,3.96,5.0,-1.04,104.0
2024-02-01,3.93,5.0,-1.0699999999999998,106.99999999999999
2024-03-01,4.1,5.0,-0.9000000000000004,90.00000000000003
2024-04-01,4.27,5.0,-0.7300000000000004,73.00000000000004
2024-05-01,4.3,5.0,-0.7000000000000002,70.00000000000001
2024-06-01,4.11,5.0,-0.8899999999999997,88.99999999999997
2024-07-01,4.05,4.75,-0.7000000000000002,70.00000000000001
2024-08-01,3.36,4.5,-1.1400000000000001,114.00000000000001
2024-09-01,3.25,4.5,-1.25,125.0
2024-10-01,2.93,4.25,-1.3199999999999998,131.99999999999997
2024-11-01,3.09,3.75,-0.6600000000000001,66.00000000000001
2024-12-01,3.04,3.75,-0.71,71.0
2025-01-01,2.93,3.25,-0.31999999999999984,31.999999999999986
2025-02-01,2.56,3.0,-0.43999999999999995,43.99999999999999
2025-03-01,2.46,3.0,-0.54,54.0
2025-04-01,2.43,2.75,-0.31999999999999984,31.999999999999986
2025-05-01,2.5,2.75,-0.25,25.0
2025-06-01,2.58,2.75,-0.16999999999999993,16.999999999999993
2025-07-01,2.66,2.75,-0.08999999999999986,8.999999999999986
2025-08-01,2.69,2.75,-0.06000000000000005,6.000000000000005
2025-09-01,2.66,2.75,-0.08999999999999986,8.999999999999986
2025-10-01,2.46,2.5,-0.040000000000000036,4.0000000000000036
2025-11-01,2.42,2.25,0.16999999999999993,16.999999999999993
2025-12-01,2.48,2.25,0.22999999999999998,23.0
2026-01-01,2.61,2.25,0.3599999999999999,35.999999999999986
2026-02-01,2.57,2.25,0.31999999999999984,31.999999999999986
2026-03-01,2.49,2.25,0.2400000000000002,24.00000000000002
2026-04-01,2.82,2.25,0.5699999999999998,56.999999999999986
